take_id,filename,sequence,cue_first,cue_last,word_count,text_sha256,source_class,selected_speed,source_sha256,start,end,window_seconds
T030,T030.wav,S3,43,44,11,d2d84600a03d59b55aad85d781670d8baa33959241341833f69c1437950dcf4d,ADAPTIVE_EXISTING,1.15,27a631443e1d2973b1f89b67abb32c3176751776d443db9b552423ddfb0d6141,00:03:04.720,00:03:10.090,5.370
T031,T031.wav,S3,45,45,13,efeb0430fd2f9e3f5ed2e1ae7308d44e6f80258695e64322fe681556042c812d,RAW_NATURAL_SPEED,1.0,39509a5439e951ab1799196778e3e816bd34f15635653a20f0324d52b1a556bb,00:03:10.090,00:03:15.340,5.250
T032,T032.wav,S3,46,47,11,34ec5bbc620cf3d4069cbdd1cd8782ba7c6ea2bcde7be96396725db39fe4f2a7,RAW_NATURAL_SPEED,1.0,07c0c5fc29626414ed0f9e20d1e53533b6cd7abd474c928f84199934a9703699,00:03:17.919,00:03:23.815,5.896
T033,T033.wav,S3,48,48,8,13bf5a64cb955ed1fb7659584cd95d737ba4065c19bdbe14095bfbed136df2f2,RAW_NATURAL_SPEED,1.0,b15be2b6f168f30f68370b75d98dd277f6452281717e147e7f11d59d349362c7,00:03:25.621,00:03:28.603,2.982
T034,T034.wav,S4,49,49,10,cc7889e52a04cde8f0e3adc97b55a92ff0cda402b9f66bf585e91807b168c586,RAW_NATURAL_SPEED,1.0,60a65387d68a06efd5e12e22471714ca4ee3163eb99a30e8b52f760c8583b6d8,00:03:30.640,00:03:34.445,3.805
T035,T035.wav,S4,50,52,32,51ec0f4de87909bfacf2f887820831f53ce945976c04923e4dc30dafdcea5ff5,RAW_NATURAL_SPEED,1.0,2d2c9a6d376a799bb3c95fe7e570fa074f32d8668a9cae05a71c8d11403a88c9,00:03:35.656,00:03:48.729,13.073
T036,T036.wav,S4,53,54,12,34d0546aff1a63f1786441a238331620efb000905db7e6cd4c165a7300e6dc20,RAW_NATURAL_SPEED,1.0,a53cdc6d7b3603499a8b7c3a3490757d3815734113dc4251aeaff2d5d6f8f88b,00:03:50.569,00:03:55.483,4.914
T037,T037.wav,S4,55,56,12,c1ec93b65b46ce9e6b59e0481cd0d1febe455da76f630d1c5088bd38fd357cdb,SURGICAL_REWRITE,1.15,79685225a75cb57413e4c3e026b12e2c511988e7696430f07d7844814787d666,00:03:55.483,00:04:01.618,6.135
T038,T038.wav,S4,57,58,10,1494b633063cc52080a636791c4de07c574f8220e98b01c7908c3f62e6ee4a9b,ADAPTIVE_EXISTING,1.15,ea17ccdfb16dfe968d791d9efc2054dd0fc241978381ef0b28421057f9f49fd5,00:04:03.120,00:04:08.000,4.880
T039,T039.wav,S4,59,60,9,16ce89df7dfa09d93a61423de39ddd64683ab58b6848e557cb96ffb0e9f90ada,ADAPTIVE_EXISTING,1.15,f63d562ca1796b4a1c2b6a6f698acd304efd4d32f6b123b03e98896c506506fc,00:04:08.000,00:04:11.722,3.722
T040,T040.wav,S4,61,62,9,89cb874c08f75ce7ff8aeff15a41bc07f68bb0a06706e825f412deca91393c1b,ADAPTIVE_EXISTING,1.15,56159a82495e1c6bc92d243f183b962a1c29d1b817b5419273cfd3ad970c1108,00:04:11.722,00:04:15.473,3.751
T041,T041.wav,S4,63,65,15,5e45cc6ca571cebc4ec0b1532a98f17fd1be1e9c7077609a232f5a719d14f1a6,SURGICAL_REWRITE,1.09,e1d76d48efb952c07de4b45ad9efb8e778340c62c0c4c8811dd7c1ab563485db,00:04:16.979,00:04:23.940,6.961
T042,T042.wav,S4,66,66,10,eca35ecd720596b3c6b9245bba9241ee11df832b9b180b26204a19ce08d08a7e,ADAPTIVE_EXISTING,1.15,ec329ff1bcf09215a4887855c1abdba18f7a9ec6b45451651bc7ed101a3e6f03,00:04:23.940,00:04:28.912,4.972
T043,T043.wav,S4,67,70,31,acd3e9e1a948575396b87db2f4383425c1cfbd1395cac6049638364a2264620a,ADAPTIVE_EXISTING,1.15,2c9c60cf9559fc9160ecc6149b2cbac6190134261b6f2779ca37a68a5ff32820,00:04:30.597,00:04:43.759,13.162
T044,T044.wav,S5,71,72,14,6c39e14f2a0ece1e424f2748658596101562c55035fe7d253973ac3c08fa1e5b,ADAPTIVE_EXISTING,1.15,b68786462a8d87ed8bd2ecff23687110540ad48aa70611f6f23c8a9949418b66,00:04:45.800,00:04:52.716,6.916
T045,T045.wav,S5,73,74,11,35ed20685d756ecc6976d75cf44ae63f0c214c79d941b469f10e89eb50703b18,SURGICAL_REWRITE,1.12,a89011a06bf7d3591e8136d1d21472f6707eff518c700ffe63980e4eab9fad4d,00:04:52.716,00:04:59.476,6.760
T046,T046.wav,S5,75,75,11,3ba27a714b1091dd7d77fcb5c7be17b00b159fcc65381e91f49eea8480f17b87,RAW_NATURAL_SPEED,1.0,f5ab7a88212e7bd04a36f39a1cddd65edf455c298a3fe6af7c2f2fc86ee04e45,00:04:59.476,00:05:04.124,4.648
T047,T047.wav,S5,76,78,28,03dd21ccd2fede73ec45e6ad698e6e46a5190a90848cdd5bcff973810d63b30b,RAW_NATURAL_SPEED,1.0,49033c7fc765f77afe327e9c2dcfb7e560f67c8786bb693d1790d47c36eb204e,00:05:04.124,00:05:15.955,11.831
T048,T048.wav,S5,79,79,11,ccc8255f16e97b53fc0043506c3005f7e44dff94c52a6ace11d9931a8f3339e6,RAW_NATURAL_SPEED,1.0,b59ee18afc204bd8972b68dc85afec065c1318a0113a2baa778d1ff6d63b96be,00:05:17.195,00:05:21.843,4.648
T049,T049.wav,S5,80,81,11,5cf58baf497c1090d4043f6a9f1f58da9207231a1d780a0abe0df8afefed7142,SURGICAL_REWRITE,1.0,73ded8cbc90660cfd6e8b54ef160321e10125163e0466173cac6269b5e812671,00:05:21.843,00:05:28.496,6.653
T050,T050.wav,S5,82,82,11,69f169281dae5f89c2252f35db56476c48a61f3452af4d21dede907105f2da34,RAW_NATURAL_SPEED,1.0,9a90e16d19b0e2a2010525967349574f54fca8578852d0947f6e381726f16967,00:05:28.576,00:05:33.224,4.648
T051,T051.wav,S5,83,83,9,2f1e97fa4617e6b31aec0f5d7dfef1e15658e53230991102164956db5bd5e1b4,RAW_NATURAL_SPEED,1.0,9bc19c51faac88dfc71626a550e8817925df13c9fa41a0052240daf726133ee4,00:05:34.465,00:05:38.267,3.802
T052,T052.wav,S5,84,85,14,5184b4bbbbedfd598bc440e7213db49a9dc6cb2ab1472af6fa13f9908cada04c,SURGICAL_REWRITE,1.15,13e5c116dea712e5eae82184969dd1d0333f13916be6d80641b59b3f9c7fc7d5,00:05:38.267,00:05:45.519,7.252
